TF,Target
E2F4,PLK1
E2F4,PLK4
E2F4,PLSCR1
E2F4,POLA2
E2F4,POLD1
E2F4,POLD2
E2F4,POLE2
E2F4,POLR2D
E2F4,PPARG
E2F4,PPIA
E2F4,PRC1
E2F4,PRIM2
E2F4,PRKCSH
E2F4,PRPSAP1
E2F4,PRR11
E2F4,PTGS2
E2F4,RABIF
E2F4,RAD51
E2F4,RAD54L
E2F4,RB1
E2F4,RBBP5
E2F4,RBL1
E2F4,RECQL
E2F4,REL
E2F4,RFC2
E2F4,RFC3
E2F4,RFC4
E2F4,RIPK2
E2F4,RPA3
E2F4,RPL23A
E2F4,RPS15
E2F4,RPS4X
E2F4,RPS6
E2F4,RPS8
E2F4,RRM1
E2F4,SAYSD1
E2F4,SFPQ
E2F4,SH3BGR
E2F4,SIRPA
E2F4,SKP1
E2F4,SLC25A14
E2F4,SLC25A4
E2F4,SLC2A13
E2F4,SLC35F6
E2F4,SLC44A4
E2F4,SLCO4A1
E2F4,SMARCA4
E2F4,SMARCA5
E2F4,SMC2
E2F4,SMC4
E2F4,SP1
E2F4,SRPRA
E2F4,SRRM2
E2F4,SRSF8
E2F4,SS18L1
E2F4,STAM
E2F4,STMN1
E2F4,SUV39H1
E2F4,SUZ12
E2F4,TERT
E2F4,TFAM
E2F4,TFRC
E2F4,THOP1
E2F4,TK1
E2F4,TMPO
E2F4,TOP1
E2F4,TOP2A
E2F4,TOPBP1
E2F4,TRAF2
E2F4,TSNAX
E2F4,TTK
E2F4,TYMS
E2F4,UBE2C
E2F4,UMPS
E2F4,UNG
E2F4,USP25
E2F4,UXT
E2F4,VARS2
E2F4,VCP
E2F4,VHL
E2F4,VPS4A
E2F4,WDR76
E2F4,WEE1
E2F4,XRCC2
E2F4,YBX3
E2F4,YWHAH
E2F4,ZFP36L1
E2F4,ZNF267
E2F5,MYC
E2F6,APAF1
E2F6,BRCA1
E2F6,DEPDC5
E2F6,E2F1
E2F6,RBBP4
E2F6,RBBP8
E2F7,E2F1
E2F7,SP1
E2F8,E2F1
E4F1,CCNA2
EGR1,ABCA2
EGR1,ABCB1
EGR1,ACE
EGR1,ACHE
EGR1,AKR1B1
EGR1,ALOX5
EGR1,ANGPTL4
EGR1,APEX1
EGR1,APOA1
EGR1,AR
EGR1,AREG
EGR1,ATF3
EGR1,ATP2A2
EGR1,BAX
EGR1,BCAR1
EGR1,BCL2
EGR1,CACNA1H
EGR1,CAT
EGR1,CCND1
EGR1,CD19
EGR1,CD28
EGR1,CD44
EGR1,CD9
EGR1,CDH13
EGR1,CDK5
EGR1,CDK5R1
EGR1,CDKN1A
EGR1,CEBPB
EGR1,CHGA
EGR1,CHRNA7
EGR1,COL2A1
EGR1,CRABP2
EGR1,CTNNB1
EGR1,CYP2B6
EGR1,DMRT1
EGR1,EAPP
EGR1,EGFR
EGR1,ELK1
